tool|sf|day|batch_type|q|parameters|time
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-05-26T14:38:32.903+00:00"}|0.01891303062438965
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-05-22T10:58:44.516+00:00"}|0.01784801483154297
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-03-12T07:43:40.645+00:00"}|0.007417440414428711
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-08-13T02:14:13.548+00:00"}|0.042707204818725586
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-07-13T21:45:13.548+00:00"}|0.033493757247924805
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-05-30T19:19:21.290+00:00"}|0.027164697647094727
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-08-03T03:03:42.580+00:00"}|0.03962850570678711
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-05-23T17:53:11.612+00:00"}|0.018026351928710938
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-09-02T01:37:15.483+00:00"}|0.05091118812561035
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-05-14T01:37:07.741+00:00"}|0.016273021697998047
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-06-23T22:22:11.612+00:00"}|0.02776169776916504
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-07-27T01:37:32.903+00:00"}|0.03793740272521973
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-08-23T01:25:44.516+00:00"}|0.04627418518066406
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-05-28T05:29:27.096+00:00"}|0.019654512405395508
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-07-14T04:40:40.645+00:00"}|0.03283214569091797
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-07-10T00:00:52.258+00:00"}|0.03125643730163574
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-07-15T11:35:07.741+00:00"}|0.032547712326049805
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-08-22T18:30:17.419+00:00"}|0.04499554634094238
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-06-22T15:27:44.516+00:00"}|0.02677011489868164
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-08-21T11:35:50.322+00:00"}|0.048171043395996094
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-05-20T20:08:50.322+00:00"}|0.01698923110961914
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-08-02T20:08:15.483+00:00"}|0.03865623474121094
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-07-30T22:22:54.193+00:00"}|0.03761935234069824
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-02-25T20:56:54.193+00:00"}|0.006589412689208984
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-05-25T07:43:05.806+00:00"}|0.01821303367614746
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-06-14T06:06:07.741+00:00"}|0.02388310432434082
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-06-27T03:03:00.000+00:00"}|0.028021812438964844
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-06-25T12:12:05.806+00:00"}|0.027400732040405273
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-06-17T03:51:29.032+00:00"}|0.025539636611938477
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-07-09T16:04:25.161+00:00"}|0.03150010108947754
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-07-18T09:21:29.032+00:00"}|0.03424811363220215
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-07-12T14:50:46.451+00:00"}|0.032148122787475586
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-06-29T17:53:54.193+00:00"}|0.028049945831298828
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-08-12T19:19:46.451+00:00"}|0.04200887680053711
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-07-08T09:09:58.064+00:00"}|0.03186392784118652
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-06-08T11:35:25.161+00:00"}|0.022820472717285156
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-05-12T11:47:13.548+00:00"}|0.015576362609863281
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-07-05T12:24:36.774+00:00"}|0.03310966491699219
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-07-29T15:27:27.096+00:00"}|0.03769326210021973
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-07-28T08:32:00.000+00:00"}|0.03781461715698242
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-08-20T04:40:23.225+00:00"}|0.04408073425292969
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-06-02T16:04:42.580+00:00"}|0.021227359771728516
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-05-01T04:40:15.483+00:00"}|0.013890743255615234
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-08-05T17:53:36.774+00:00"}|0.04030585289001465
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-05-16T15:27:01.935+00:00"}|0.016730070114135742
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-05-13T18:42:40.645+00:00"}|0.015736103057861328
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-07-20T23:11:23.225+00:00"}|0.034967660903930664
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-08-06T00:48:03.870+00:00"}|0.03996562957763672
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-06-21T08:32:17.419+00:00"}|0.02693033218383789
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-06-09T18:30:52.258+00:00"}|0.022846698760986328
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-04-25T09:09:32.903+00:00"}|0.012961387634277344
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-04-24T02:14:05.806+00:00"}|0.012176990509033203
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-06-10T01:25:19.354+00:00"}|0.026545286178588867
Neo4j|1|2012-11-29|power|1|{"datetime": "2010-09-12T00:48:46.451+00:00"}|0.053360939025878906
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-19", "tagClass": "SoccerPlayer"}|0.040927886962890625
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-15", "tagClass": "SoccerPlayer"}|0.013467788696289062
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-13", "tagClass": "OfficeHolder"}|0.5464410781860352
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-14", "tagClass": "Monarch"}|0.1282978057861328
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-11", "tagClass": "Writer"}|0.31486964225769043
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-26", "tagClass": "OfficeHolder"}|0.4298722743988037
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-22", "tagClass": "Album"}|0.6036181449890137
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-15", "tagClass": "Philosopher"}|0.11529541015625
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-18", "tagClass": "BaseballPlayer"}|0.03414130210876465
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-21", "tagClass": "Single"}|0.6611475944519043
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-13", "tagClass": "Monarch"}|0.07456517219543457
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-11", "tagClass": "OfficeHolder"}|0.42992329597473145
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-23", "tagClass": "ChristianBishop"}|0.03302502632141113
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-14", "tagClass": "TennisPlayer"}|0.15653133392333984
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-15", "tagClass": "Monarch"}|0.07533049583435059
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-13", "tagClass": "BritishRoyalty"}|0.2586488723754883
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-19", "tagClass": "President"}|0.0832362174987793
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-22", "tagClass": "Writer"}|0.30466318130493164
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-19", "tagClass": "Artist"}|0.04716038703918457
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-20", "tagClass": "ChristianBishop"}|0.034339189529418945
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-13", "tagClass": "BaseballPlayer"}|0.03415942192077637
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-11", "tagClass": "Saint"}|0.08750224113464355
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-17", "tagClass": "SoccerPlayer"}|0.011024713516235352
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-15", "tagClass": "Album"}|0.5809292793273926
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-21", "tagClass": "Album"}|0.5893466472625732
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-20", "tagClass": "Album"}|0.5785543918609619
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-20", "tagClass": "Single"}|0.6549341678619385
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-11", "tagClass": "BritishRoyalty"}|0.2515990734100342
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-22", "tagClass": "Country"}|1.0842339992523193
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-13", "tagClass": "Artist"}|0.04713749885559082
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-08", "tagClass": "Person"}|0.6633541584014893
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-17", "tagClass": "MusicalArtist"}|0.5496609210968018
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-17", "tagClass": "Philosopher"}|0.10834312438964844
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-22", "tagClass": "Monarch"}|0.0705411434173584
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-21", "tagClass": "Scientist"}|0.0531620979309082
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-15", "tagClass": "Saint"}|0.08176898956298828
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-09", "tagClass": "Saint"}|0.08017802238464355
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-27", "tagClass": "Scientist"}|0.05057668685913086
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-08", "tagClass": "President"}|0.08580756187438965
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-26", "tagClass": "Person"}|0.5992116928100586
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-26", "tagClass": "Thing"}|0.06419610977172852
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-16", "tagClass": "Album"}|0.6034688949584961
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-14", "tagClass": "Scientist"}|0.05070972442626953
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-11", "tagClass": "Song"}|0.1024782657623291
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-09", "tagClass": "Philosopher"}|0.10587763786315918
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-17", "tagClass": "Artist"}|0.0516507625579834
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-10", "tagClass": "TennisPlayer"}|0.11645150184631348
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-16", "tagClass": "Country"}|1.0663471221923828
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-16", "tagClass": "Artist"}|0.046257734298706055
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-13", "tagClass": "Scientist"}|0.05170774459838867
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-12", "tagClass": "Album"}|0.5829699039459229
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-13", "tagClass": "Philosopher"}|0.1325547695159912
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-25", "tagClass": "ChristianBishop"}|0.04091525077819824
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-09", "tagClass": "SoccerPlayer"}|0.0136871337890625
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-10", "tagClass": "OfficeHolder"}|0.447101354598999
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-22", "tagClass": "Philosopher"}|0.10821151733398438
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-15", "tagClass": "TennisPlayer"}|0.10918807983398438
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-12", "tagClass": "Philosopher"}|0.11001396179199219
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-20", "tagClass": "MusicalArtist"}|0.5225255489349365
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-17", "tagClass": "Writer"}|0.30135273933410645
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-22", "tagClass": "Scientist"}|0.05189228057861328
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-16", "tagClass": "Song"}|0.09245920181274414
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-27", "tagClass": "Single"}|0.651879072189331
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-22", "tagClass": "OfficeHolder"}|0.43044185638427734
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-22", "tagClass": "Song"}|0.08980512619018555
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-08", "tagClass": "Philosopher"}|0.10451674461364746
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-14", "tagClass": "President"}|0.08421516418457031
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-16", "tagClass": "SoccerPlayer"}|0.010993480682373047
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-19", "tagClass": "BaseballPlayer"}|0.03747439384460449
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-25", "tagClass": "Song"}|0.0930166244506836
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-23", "tagClass": "Saint"}|0.0807182788848877
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-21", "tagClass": "Song"}|0.0919797420501709
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-11", "tagClass": "MusicalArtist"}|0.5235505104064941
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-09", "tagClass": "MusicalArtist"}|0.5191895961761475
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-20", "tagClass": "Saint"}|0.08449220657348633
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-10", "tagClass": "Single"}|0.6484458446502686
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-16", "tagClass": "TennisPlayer"}|0.10775876045227051
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-20", "tagClass": "President"}|0.08420753479003906
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-25", "tagClass": "Country"}|1.0632655620574951
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-11", "tagClass": "Scientist"}|0.049642324447631836
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-14", "tagClass": "BritishRoyalty"}|0.2969019412994385
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-27", "tagClass": "Philosopher"}|0.11569881439208984
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-12", "tagClass": "President"}|0.09481120109558105
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-23", "tagClass": "SoccerPlayer"}|0.010918617248535156
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-12", "tagClass": "Person"}|0.5884273052215576
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-23", "tagClass": "Album"}|0.5768861770629883
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-11", "tagClass": "Album"}|0.5753264427185059
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-19", "tagClass": "Saint"}|0.08054280281066895
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-09", "tagClass": "Monarch"}|0.07127141952514648
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-13", "tagClass": "Country"}|1.0643563270568848
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-10", "tagClass": "Album"}|0.5782661437988281
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-10", "tagClass": "Thing"}|0.05609703063964844
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-16", "tagClass": "Monarch"}|0.06868147850036621
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-25", "tagClass": "Philosopher"}|0.10616278648376465
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-27", "tagClass": "ChristianBishop"}|0.03645491600036621
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-10", "tagClass": "Scientist"}|0.05328679084777832
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-21", "tagClass": "Saint"}|0.07948422431945801
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-24", "tagClass": "Thing"}|0.05331063270568848
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-19", "tagClass": "Monarch"}|0.06832647323608398
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-25", "tagClass": "Person"}|0.591564416885376
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-27", "tagClass": "Monarch"}|0.07750940322875977
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-15", "tagClass": "Single"}|0.7235193252563477
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-27", "tagClass": "BritishRoyalty"}|0.25142860412597656
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-22", "tagClass": "President"}|0.08296012878417969
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-18", "tagClass": "Album"}|0.580134391784668
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-27", "tagClass": "Person"}|0.5866320133209229
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-11", "tagClass": "ChristianBishop"}|0.037539005279541016
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-13", "tagClass": "Person"}|0.5886151790618896
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-16", "tagClass": "Saint"}|0.07942080497741699
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-22", "tagClass": "Artist"}|0.046011924743652344
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-19", "tagClass": "BritishRoyalty"}|0.25128889083862305
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-09", "tagClass": "Single"}|0.6493499279022217
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-14", "tagClass": "Philosopher"}|0.10642671585083008
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-19", "tagClass": "Writer"}|0.2973024845123291
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-16", "tagClass": "BaseballPlayer"}|0.034647226333618164
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-18", "tagClass": "ChristianBishop"}|0.03202104568481445
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-18", "tagClass": "Scientist"}|0.04913830757141113
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-16", "tagClass": "MusicalArtist"}|0.5194268226623535
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-18", "tagClass": "TennisPlayer"}|0.10926365852355957
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-12", "tagClass": "TennisPlayer"}|0.11296772956848145
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-25", "tagClass": "TennisPlayer"}|0.1071462631225586
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-12", "tagClass": "Writer"}|0.30001282691955566
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-18", "tagClass": "MusicalArtist"}|0.5237059593200684
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-24", "tagClass": "President"}|0.08105087280273438
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-14", "tagClass": "Country"}|1.0712201595306396
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-25", "tagClass": "MusicalArtist"}|0.5860514640808105
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-20", "tagClass": "Country"}|1.0885899066925049
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-19", "tagClass": "Person"}|0.581082820892334
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-23", "tagClass": "President"}|0.08334112167358398
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-17", "tagClass": "Person"}|0.5840282440185547
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-24", "tagClass": "Scientist"}|0.0510101318359375
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-22", "tagClass": "Thing"}|0.05483579635620117
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-09", "tagClass": "Country"}|1.0604186058044434
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-16", "tagClass": "BritishRoyalty"}|0.2514228820800781
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-08", "tagClass": "Monarch"}|0.0686028003692627
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-27", "tagClass": "Artist"}|0.04681253433227539
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-23", "tagClass": "Country"}|1.1154537200927734
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-23", "tagClass": "Artist"}|0.050708770751953125
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-14", "tagClass": "Writer"}|0.30907535552978516
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-24", "tagClass": "Artist"}|0.045815467834472656
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-26", "tagClass": "Writer"}|0.30215024948120117
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-25", "tagClass": "Monarch"}|0.06825518608093262
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-18", "tagClass": "Writer"}|0.3092763423919678
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-17", "tagClass": "Saint"}|0.07931637763977051
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-20", "tagClass": "Thing"}|0.053388357162475586
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-21", "tagClass": "OfficeHolder"}|0.4181253910064697
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-19", "tagClass": "Album"}|0.5766942501068115
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-11", "tagClass": "TennisPlayer"}|0.1081998348236084
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-10", "tagClass": "Country"}|1.067211627960205
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-08", "tagClass": "Single"}|0.6877479553222656
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-18", "tagClass": "Person"}|0.5980665683746338
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-18", "tagClass": "SoccerPlayer"}|0.010972976684570312
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-09", "tagClass": "TennisPlayer"}|0.10884952545166016
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-23", "tagClass": "Song"}|0.09340524673461914
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-27", "tagClass": "Song"}|0.11044025421142578
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-26", "tagClass": "Single"}|0.7438533306121826
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-27", "tagClass": "OfficeHolder"}|0.4292573928833008
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-17", "tagClass": "BritishRoyalty"}|0.25534772872924805
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-17", "tagClass": "President"}|0.08121633529663086
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-20", "tagClass": "Monarch"}|0.07016110420227051
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-25", "tagClass": "Artist"}|0.051545143127441406
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-22", "tagClass": "SoccerPlayer"}|0.010735034942626953
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-18", "tagClass": "Monarch"}|0.07157015800476074
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-26", "tagClass": "Country"}|1.0774917602539062
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-20", "tagClass": "SoccerPlayer"}|0.010904312133789062
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-18", "tagClass": "OfficeHolder"}|0.42629528045654297
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-10", "tagClass": "Philosopher"}|0.10684418678283691
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-11", "tagClass": "Single"}|0.6609413623809814
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-10", "tagClass": "Song"}|0.09241771697998047
Neo4j|1|2012-11-29|power|2a|{"date": "2010-06-17", "tagClass": "ChristianBishop"}|0.03376197814941406
